"","playlist_name","playlist_uri","playlist_tracks_url","playlist_num_tracks","snapshot_id","playlist_img","track_name","track_uri","artist_name","album_name","album_img","track_added_at","track_popularity","track_preview_url","track_open_spotify_url","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode"
"66","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","Feel It Still","6QgjcU0zLnzq5OrUoSZ3OK","Portugal. The Man","Woodstock","https://i.scdn.co/image/7eebbc8e776e287b400d7ef6efec97b9f90aa3ea",2017-12-05 07:25:55,91,"https://p.scdn.co/mp3-preview/c32d9479367a99fcf5f881e23e1381e6f87214e9?cid=7cd7c410d1a94e06b4a81e4bda235aa5","https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK",0.801,0.795,"C#",-5.115,"minor",0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4,"C# minor"
"67","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","Moves","0Fv5N0cHBsl4bzCbollCAS","Big Sean","I Decided.","https://i.scdn.co/image/b6ff79f9faeab5753a5d6e33146c3ba02ea75e4f",2017-12-05 07:25:55,75,NA,"https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS",0.789,0.53,"D",-6.2,"major",0.293,0.0541,0,0.164,0.367,75.515,142907,4,"D major"
"68","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","ELEMENT.","1EaKU4dMbesXXd3BrLCtYG","Kendrick Lamar","DAMN.","https://i.scdn.co/image/661e1a935e2eacdd45c05ef618565535e7bed2ad",2017-12-05 07:25:55,76,NA,"https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG",0.734,0.687,"E",-4.728,"minor",0.476,0.22,0,0.215,0.476,189.791,208733,4,"E minor"
"69","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","Go Flex","5yuShbu70mtHXY0yLzCQLQ","Post Malone","Stoney (Deluxe)","https://i.scdn.co/image/17e68a2e03de74a114bf6609d69f9bdbf6029f70",2017-12-05 07:25:55,83,NA,"https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ",0.662,0.496,"F",-8.267,"major",0.109,0.248,0,0.0769,0.133,81.951,179613,4,"F major"
"70","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","White Iverson","6eT7xZZlB2mwyzJ2sUKG6w","Post Malone","Stoney (Deluxe)","https://i.scdn.co/image/17e68a2e03de74a114bf6609d69f9bdbf6029f70",2017-12-05 07:25:55,82,NA,"https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w",0.674,0.568,"G",-7.678,"major",0.0349,0.216,0,0.0863,0.321,130.081,256533,4,"G major"
"71","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","Bad Things (with Camila Cabello)","1PSBzsahR2AKwLJgx8ehBj","Machine Gun Kelly","bloom","https://i.scdn.co/image/edb29125951eeb3496d8fd2f9545c656c7709181",2017-12-05 07:25:55,39,NA,"https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj",0.675,0.69,"D",-4.761,"major",0.132,0.21,0,0.287,0.272,137.817,239293,4,"D major"
"72","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","24K Magic","6b8Be6ljOzmkOmFslEb23P","Bruno Mars","24K Magic","https://i.scdn.co/image/bf41f93f8c895eff007b88bd2e23e12dfe078792",2017-12-05 07:25:55,83,"https://p.scdn.co/mp3-preview/3213a35ec32d4c747e794072a5ef7b464b4fcb69?cid=7cd7c410d1a94e06b4a81e4bda235aa5","https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P",0.818,0.803,"C#",-4.282,"major",0.0797,0.034,0,0.153,0.632,106.97,225983,4,"C# major"
"73","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","Havana","0ofbQMrRDsUaVKq2mGLEAb","Camila Cabello","Havana","https://i.scdn.co/image/400c2aacb056cd051afedee8a4896a97c079e68d",2017-12-05 07:25:55,74,NA,"https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb",0.768,0.517,"G",-4.323,"minor",0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897,4,"G minor"
"74","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","Mi Gente","2rb5MvYT7ZIxbKW5hfcHx8","J Balvin","Mi Gente","https://i.scdn.co/image/b18c75591156893f9740d707fd0a275897275f98",2017-12-05 07:25:55,83,NA,"https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8",0.543,0.677,"B",-4.915,"minor",0.0993,0.0148,6.21e-06,0.13,0.294,103.809,189440,4,"B minor"
"75","Top Tracks of 2017: USA","37i9dQZF1DX7Axsg3uaDZb","https://api.spotify.com/v1/users/spotify/playlists/37i9dQZF1DX7Axsg3uaDZb/tracks?offset=0&limit=100",100,"WwOhi5cqqVBesRLJfiUir88o+yrsOOS0Cm8ijUG2kIj7PCW8xsbR848Aecz4H/qb6/ZN2jRgCzI=","https://i.scdn.co/image/e45f2ca5b6c1ad7f332d7b74432f697d94e96d05","Rolex","0pSBuHjILhNEo55xK1zrRt","Ayo & Teo","Rolex","https://i.scdn.co/image/e8468776f7a0e12af7e9ad9430406a5f927c387d",2017-12-05 07:25:55,82,"https://p.scdn.co/mp3-preview/bd059d92a5feebff918e7de21209b9aedc2a73f1?cid=7cd7c410d1a94e06b4a81e4bda235aa5","https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt",0.804,0.886,"C#",-2.512,"major",0.04,0.0837,0,0.266,0.789,144.946,238587,4,"C# major"
